stat.frontend_question_id,stat.question__title,acceptance_pct,difficulty.level,link
1480,Running Sum of 1d Array,92.2,1,https://leetcode.com/problems/running-sum-of-1d-array
1470,Shuffle the Array,89.2,1,https://leetcode.com/problems/shuffle-the-array
1431,Kids With the Greatest Number of Candies,88.6,1,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies
1108,Defanging an IP Address,87.1,1,https://leetcode.com/problems/defanging-an-ip-address
1486,XOR Operation in an Array,87.0,1,https://leetcode.com/problems/xor-operation-in-an-array
1342,Number of Steps to Reduce a Number to Zero,86.8,1,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero
771,Jewels and Stones,86.2,1,https://leetcode.com/problems/jewels-and-stones
1365,How Many Numbers Are Smaller Than the Current Number,85.2,1,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number
1313,Decompress Run-Length Encoded List,84.89999999999999,1,https://leetcode.com/problems/decompress-run-length-encoded-list
1281,Subtract the Product and Sum of Digits of an Integer,84.8,1,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer
1389,Create Target Array in the Given Order,83.2,1,https://leetcode.com/problems/create-target-array-in-the-given-order
1221,Split a String in Balanced Strings,82.89999999999999,1,https://leetcode.com/problems/split-a-string-in-balanced-strings
1295,Find Numbers with Even Number of Digits,82.6,1,https://leetcode.com/problems/find-numbers-with-even-number-of-digits
938,Range Sum of BST,80.9,1,https://leetcode.com/problems/range-sum-of-bst
1290,Convert Binary Number in a Linked List to Integer,80.10000000000001,1,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1266,Minimum Time Visiting All Points,79.4,1,https://leetcode.com/problems/minimum-time-visiting-all-points
709,To Lower Case,79.10000000000001,1,https://leetcode.com/problems/to-lower-case
1464,Maximum Product of Two Elements in an Array,78.7,1,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array
1450,Number of Students Doing Homework at a Given Time,78.60000000000001,1,https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time
1252,Cells with Odd Values in a Matrix,78.2,1,https://leetcode.com/problems/cells-with-odd-values-in-a-matrix
1323,Maximum 69 Number,77.9,1,https://leetcode.com/problems/maximum-69-number
1436,Destination City,77.60000000000001,1,https://leetcode.com/problems/destination-city
1021,Remove Outermost Parentheses,77.60000000000001,1,https://leetcode.com/problems/remove-outermost-parentheses
1309,Decrypt String from Alphabet to Integer Mapping,76.9,1,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping
1351,Count Negative Numbers in a Sorted Matrix,76.7,1,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix
804,Unique Morse Code Words,76.7,1,https://leetcode.com/problems/unique-morse-code-words
1475,Final Prices With a Special Discount in a Shop,76.1,1,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop
1304,Find N Unique Integers Sum up to Zero,76.0,1,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero
1299,Replace Elements with Greatest Element on Right Side,76.0,1,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side
832,Flipping an Image,75.8,1,https://leetcode.com/problems/flipping-an-image
1370,Increasing Decreasing String,75.6,1,https://leetcode.com/problems/increasing-decreasing-string
1460,Make Two Arrays Equal by Reversing Sub-arrays,75.5,1,https://leetcode.com/problems/make-two-arrays-equal-by-reversing-sub-arrays
1374,Generate a String With Characters That Have Odd Counts,75.4,1,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts
905,Sort Array By Parity,73.9,1,https://leetcode.com/problems/sort-array-by-parity
728,Self Dividing Numbers,73.9,1,https://leetcode.com/problems/self-dividing-numbers
617,Merge Two Binary Trees,73.8,1,https://leetcode.com/problems/merge-two-binary-trees
961,N-Repeated Element in Size 2N Array,73.5,1,https://leetcode.com/problems/n-repeated-element-in-size-2n-array
657,Robot Return to Origin,73.3,1,https://leetcode.com/problems/robot-return-to-origin
700,Search in a Binary Search Tree,72.89999999999999,1,https://leetcode.com/problems/search-in-a-binary-search-tree
1491,Average Salary Excluding the Minimum and Maximum Salary,72.6,1,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary
977,Squares of a Sorted Array,72.2,1,https://leetcode.com/problems/squares-of-a-sorted-array
942,DI String Match,72.2,1,https://leetcode.com/problems/di-string-match
1380,Lucky Numbers in a Matrix,71.8,1,https://leetcode.com/problems/lucky-numbers-in-a-matrix
561,Array Partition I,71.7,1,https://leetcode.com/problems/array-partition-i
933,Number of Recent Calls,71.6,1,https://leetcode.com/problems/number-of-recent-calls
590,N-ary Tree Postorder Traversal,71.6,1,https://leetcode.com/problems/n-ary-tree-postorder-traversal
589,N-ary Tree Preorder Traversal,71.6,1,https://leetcode.com/problems/n-ary-tree-preorder-traversal
852,Peak Index in a Mountain Array,71.5,1,https://leetcode.com/problems/peak-index-in-a-mountain-array
461,Hamming Distance,71.5,1,https://leetcode.com/problems/hamming-distance
1207,Unique Number of Occurrences,71.3,1,https://leetcode.com/problems/unique-number-of-occurrences
1403,Minimum Subsequence in Non-Increasing Order,71.0,1,https://leetcode.com/problems/minimum-subsequence-in-non-increasing-order
1051,Height Checker,70.6,1,https://leetcode.com/problems/height-checker
944,Delete Columns to Make Sorted,70.19999999999999,1,https://leetcode.com/problems/delete-columns-to-make-sorted
897,Increasing Order Search Tree,69.8,1,https://leetcode.com/problems/increasing-order-search-tree
811,Subdomain Visit Count,69.5,1,https://leetcode.com/problems/subdomain-visit-count
557,Reverse Words in a String III,69.3,1,https://leetcode.com/problems/reverse-words-in-a-string-iii
1237,Find Positive Integer Solution for a Given Equation,69.19999999999999,1,https://leetcode.com/problems/find-positive-integer-solution-for-a-given-equation
922,Sort Array By Parity II,68.7,1,https://leetcode.com/problems/sort-array-by-parity-ii
1441,Build an Array With Stack Operations,68.60000000000001,1,https://leetcode.com/problems/build-an-array-with-stack-operations
1337,The K Weakest Rows in a Matrix,68.4,1,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix
1356,Sort Integers by The Number of 1 Bits,68.4,1,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits
876,Middle of the Linked List,68.2,1,https://leetcode.com/problems/middle-of-the-linked-list
559,Maximum Depth of N-ary Tree,68.2,1,https://leetcode.com/problems/maximum-depth-of-n-ary-tree
1047,Remove All Adjacent Duplicates In String,68.10000000000001,1,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string
344,Reverse String,68.0,1,https://leetcode.com/problems/reverse-string
965,Univalued Binary Tree,67.7,1,https://leetcode.com/problems/univalued-binary-tree
1385,Find the Distance Value Between Two Arrays,67.60000000000001,1,https://leetcode.com/problems/find-the-distance-value-between-two-arrays
1122,Relative Sort Array,67.60000000000001,1,https://leetcode.com/problems/relative-sort-array
1002,Find Common Characters,67.5,1,https://leetcode.com/problems/find-common-characters
929,Unique Email Addresses,67.5,1,https://leetcode.com/problems/unique-email-addresses
883,Projection Area of 3D Shapes,67.5,1,https://leetcode.com/problems/projection-area-of-3d-shapes
1160,Find Words That Can Be Formed by Characters,67.30000000000001,1,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters
509,Fibonacci Number,67.10000000000001,1,https://leetcode.com/problems/fibonacci-number
1200,Minimum Absolute Difference,66.60000000000001,1,https://leetcode.com/problems/minimum-absolute-difference
999,Available Captures for Rook,66.60000000000001,1,https://leetcode.com/problems/available-captures-for-rook
821,Shortest Distance to a Character,66.60000000000001,1,https://leetcode.com/problems/shortest-distance-to-a-character
1022,Sum of Root To Leaf Binary Numbers,66.5,1,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers
1025,Divisor Game,66.2,1,https://leetcode.com/problems/divisor-game
893,Groups of Special-Equivalent Strings,66.10000000000001,1,https://leetcode.com/problems/groups-of-special-equivalent-strings
908,Smallest Range I,65.5,1,https://leetcode.com/problems/smallest-range-i
104,Maximum Depth of Binary Tree,65.5,1,https://leetcode.com/problems/maximum-depth-of-binary-tree
1030,Matrix Cells in Distance Order,65.4,1,https://leetcode.com/problems/matrix-cells-in-distance-order
136,Single Number,65.2,1,https://leetcode.com/problems/single-number
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,65.10000000000001,1,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence
1413,Minimum Value to Get Positive Step by Step Sum,64.9,1,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum
1394,Find Lucky Integer in an Array,64.9,1,https://leetcode.com/problems/find-lucky-integer-in-an-array
1399,Count Largest Group,64.8,1,https://leetcode.com/problems/count-largest-group
766,Toeplitz Matrix,64.7,1,https://leetcode.com/problems/toeplitz-matrix
476,Number Complement,64.7,1,https://leetcode.com/problems/number-complement
872,Leaf-Similar Trees,64.60000000000001,1,https://leetcode.com/problems/leaf-similar-trees
806,Number of Lines To Write String,64.60000000000001,1,https://leetcode.com/problems/number-of-lines-to-write-string
500,Keyboard Row,64.5,1,https://leetcode.com/problems/keyboard-row
1078,Occurrences After Bigram,64.4,1,https://leetcode.com/problems/occurrences-after-bigram
226,Invert Binary Tree,64.4,1,https://leetcode.com/problems/invert-binary-tree
1217,Play with Chips,64.3,1,https://leetcode.com/problems/play-with-chips
1185,Day of the Week,64.1,1,https://leetcode.com/problems/day-of-the-week
784,Letter Case Permutation,63.800000000000004,1,https://leetcode.com/problems/letter-case-permutation
463,Island Perimeter,63.800000000000004,1,https://leetcode.com/problems/island-perimeter
682,Baseball Game,63.4,1,https://leetcode.com/problems/baseball-game
496,Next Greater Element I,63.4,1,https://leetcode.com/problems/next-greater-element-i
824,Goat Latin,63.0,1,https://leetcode.com/problems/goat-latin
237,Delete Node in a Linked List,63.0,1,https://leetcode.com/problems/delete-node-in-a-linked-list
884,Uncommon Words from Two Sentences,62.9,1,https://leetcode.com/problems/uncommon-words-from-two-sentences
867,Transpose Matrix,62.9,1,https://leetcode.com/problems/transpose-matrix
762,Prime Number of Set Bits in Binary Representation,62.8,1,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation
669,Trim a Binary Search Tree,62.8,1,https://leetcode.com/problems/trim-a-binary-search-tree
637,Average of Levels in Binary Tree,62.5,1,https://leetcode.com/problems/average-of-levels-in-binary-tree
1046,Last Stone Weight,62.1,1,https://leetcode.com/problems/last-stone-weight
412,Fizz Buzz,62.0,1,https://leetcode.com/problems/fizz-buzz
349,Intersection of Two Arrays,61.8,1,https://leetcode.com/problems/intersection-of-two-arrays
206,Reverse Linked List,61.8,1,https://leetcode.com/problems/reverse-linked-list
985,Sum of Even Numbers After Queries,61.5,1,https://leetcode.com/problems/sum-of-even-numbers-after-queries
575,Distribute Candies,61.3,1,https://leetcode.com/problems/distribute-candies
1260,Shift 2D Grid,61.0,1,https://leetcode.com/problems/shift-2d-grid
1189,Maximum Number of Balloons,61.0,1,https://leetcode.com/problems/maximum-number-of-balloons
1446,Consecutive Characters,60.8,1,https://leetcode.com/problems/consecutive-characters
1408,String Matching in an Array,60.8,1,https://leetcode.com/problems/string-matching-in-an-array
706,Design HashMap,60.8,1,https://leetcode.com/problems/design-hashmap
1103,Distribute Candies to People,60.4,1,https://leetcode.com/problems/distribute-candies-to-people
868,Binary Gap,60.3,1,https://leetcode.com/problems/binary-gap
705,Design HashSet,60.3,1,https://leetcode.com/problems/design-hashset
566,Reshape the Matrix,60.3,1,https://leetcode.com/problems/reshape-the-matrix
1287,Element Appearing More Than 25% In Sorted Array,59.9,1,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array
1009,Complement of Base 10 Integer,59.5,1,https://leetcode.com/problems/complement-of-base-10-integer
693,Binary Number with Alternating Bits,59.199999999999996,1,https://leetcode.com/problems/binary-number-with-alternating-bits
1332,Remove Palindromic Subsequences,59.099999999999994,1,https://leetcode.com/problems/remove-palindromic-subsequences
1170,Compare Strings by Frequency of the Smallest Character,58.599999999999994,1,https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character
892,Surface Area of 3D Shapes,58.599999999999994,1,https://leetcode.com/problems/surface-area-of-3d-shapes
1331,Rank Transform of an Array,58.3,1,https://leetcode.com/problems/rank-transform-of-an-array
169,Majority Element,58.3,1,https://leetcode.com/problems/majority-element
812,Largest Triangle Area,58.099999999999994,1,https://leetcode.com/problems/largest-triangle-area
888,Fair Candy Swap,57.699999999999996,1,https://leetcode.com/problems/fair-candy-swap
976,Largest Perimeter Triangle,57.599999999999994,1,https://leetcode.com/problems/largest-perimeter-triangle
917,Reverse Only Letters,57.599999999999994,1,https://leetcode.com/problems/reverse-only-letters
896,Monotonic Array,57.599999999999994,1,https://leetcode.com/problems/monotonic-array
283,Move Zeroes,57.599999999999994,1,https://leetcode.com/problems/move-zeroes
521,Longest Uncommon Subsequence I ,57.49999999999999,1,https://leetcode.com/problems/longest-uncommon-subsequence-i
108,Convert Sorted Array to Binary Search Tree,57.199999999999996,1,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
788,Rotated Digits,57.099999999999994,1,https://leetcode.com/problems/rotated-digits
690,Employee Importance,56.8,1,https://leetcode.com/problems/employee-importance
1317,Convert Integer to the Sum of Two No-Zero Integers,56.699999999999996,1,https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers
