stat.frontend_question_id,stat.question__title,acceptance_pct,difficulty.level,link
1179,Reformat Department Table,79.7,1,https://leetcode.com/problems/reformat-department-table
595,Big Countries,77.0,1,https://leetcode.com/problems/big-countries
627,Swap Salary,74.7,1,https://leetcode.com/problems/swap-salary
620,Not Boring Movies,66.9,1,https://leetcode.com/problems/not-boring-movies
182,Duplicate Emails,61.3,1,https://leetcode.com/problems/duplicate-emails
175,Combine Two Tables,60.0,1,https://leetcode.com/problems/combine-two-tables
181,Employees Earning More Than Their Managers,56.00000000000001,1,https://leetcode.com/problems/employees-earning-more-than-their-managers
183,Customers Who Never Order,52.5,1,https://leetcode.com/problems/customers-who-never-order
196,Delete Duplicate Emails,40.2,1,https://leetcode.com/problems/delete-duplicate-emails
197,Rising Temperature,38.1,1,https://leetcode.com/problems/rising-temperature
596,Classes More Than 5 Students,37.9,1,https://leetcode.com/problems/classes-more-than-5-students
176,Second Highest Salary,31.2,1,https://leetcode.com/problems/second-highest-salary
626,Exchange Seats,61.4,2,https://leetcode.com/problems/exchange-seats
178,Rank Scores,44.800000000000004,2,https://leetcode.com/problems/rank-scores
180,Consecutive Numbers,39.1,2,https://leetcode.com/problems/consecutive-numbers
184,Department Highest Salary,35.9,2,https://leetcode.com/problems/department-highest-salary
177,Nth Highest Salary,30.9,2,https://leetcode.com/problems/nth-highest-salary
601,Human Traffic of Stadium,41.099999999999994,3,https://leetcode.com/problems/human-traffic-of-stadium
185,Department Top Three Salaries,33.6,3,https://leetcode.com/problems/department-top-three-salaries
262,Trips and Users,31.8,3,https://leetcode.com/problems/trips-and-users
